Budget,BoxOffice
25000000,28884504
6000000,250341816
185000000,1006234167
13000000,47961919
350000,955
22000000,322161245
94000000,1146457748
8000000,213928762
93000000,898204420
1200000,25253887
55000000,678226465
63000000,101209702
94000000,947944270
160000000,836848102
18000000,538375067
63000000,467222728
25000000,47036784
3000000,109114817
33000000,327333559
125000000,346258
3180000,8574081
19000000,272742922
"$70,000,000",30680793
70000000,482349603
165000000,773867216
20000000,230098753
60000000,286801374
11000000,775398007
102000000,520881154
19000000,383336762
19000000,355822319
35000000,120072577
806947,32052925
11400000,262676096
115000000,19569225
45000000,968511805
103000000,503162313
20000000,23875127
90000000,291480452
6000000,23341568
40000000,109676311
3300000,49396747
950000,4626532
3700000,516962
6000000,5631
9500000,426588510
1500000,463618
5000000,5435024
1000000,37034579
5000000,13019063
11000000,106285522
1500000,50419
31500000,104880868
9000000,40047078
100000000,426074373
18000000,389925971
180000000,521311890
2000000,77356942
1752000,300073
935000,5252
19000000,47335804
2000000,970263
321000000,2052415039
3000000,7693
18500000,131060248
6000000,14515361
15000000,356296601
1800000,9523464
250000000,1081169825
3000000,15421226
70000000,321457747
18000000,52066791
175000000,814337054
30000000,394436586
55000000,1074458282
72000000,213216216
32000000,11487676
356000000,2799439100
2400000000,170005875
30000000,5473337
6000000,7486174
1200000,1468456
550000000,60262836
2540800,2000288
4500000,7390108
200000000,1067316101
30000000,126216940
140000000,15648
32500000,475106177
20000000,74036715
12000000,65889846
1200000,2913644
12000000,45641145
30000000,126216940
839727,1645133
1200000,35566
15000000,45720631
3101000,142319
2479000,7798146
12000000,96302
10000000,174122191
3000000,18778738
2200000,26960374
927262,14651
30000000,46358827
170000000,1488732821
25000000,65884703
30000000,2696037
6800000,6788659
2000000,599146
60000000,187436818
5500000,156000000
175000000,735099102
500000,22926076
30000000,1349711
1300000,28570902
35000000,126216940
28000000,141603197
6000000,83557872
48000000,474171806
133000,436655
12000000,21897373
95000000,384479940
13500000,92181574
12000000,1262169
600000,15000000
150000000,373672993
250000,41960
2883848,195088
6000000,24427162
1400000,151052
100000000,406878233
23000000,321752656
3000000,12180
52000000,116112375
11500000,4164283
19000000,83862032
60000000,264118201
25000000,76182388
14400000,159167799
40000000,672806432
80000000,294805697
58000000,316791257
63000000,1109802321
12000000,46808
3000000,5014000
229575,1940906
4000000,228178
25000000,171627434
200000000,1921847111
30000000,180906076
250000,81379
15000000,19632715
94000000,941637960
5000000,26023860
6000000,29225935
18000000,23402427
54000000,134686457
3977000,402382193
960000,3753929
175000000,858848019
1400000,31207
4000000,196327151
24000000,237536126
15000000,162861289
3000000,27200000
1500000,16767475
46000000,122126687
25000000,23308615
7000000,60611975
33000000,269958228
6000000,450840
165000000,26960
30000000,216763646
6000000,1963271
28000000,41722424
923000,29328
2500000,5987386
20000000,187733202
4000000,2369075
125000000,1342359942
910000,910000
15000000,74437720
165000000,236907
25000000,173082189
4000000,60418
750000,750000
6000000,1226507
4000000,11477
15000000,49074379
11000000,199632
40000000,180563636
8200000,1098
2800000,1166717
6000000,6042
165000000,11477
1900000,144738
150000000,415261382
150000,311212
"$8,240,000",1740429
165000000,494879471
13000000,35401758
115000000,579707738
7000000,476512065
16400000,235860116
15000000,46969409
4000000,26960374
8200000,60418456
17500000,33882243
97600000,225508210
960000,117250402
6000000,138545632
150000000,623726085
20000000,98690254
6400000,78371200
97000000,619179950
8000000,52287414
38000000,96983009
3800000,23690757
15000000,56675895
6400000,235860116
2777000,25637669
1288000,135342
14600000,71108591
2100000,23661347
11000000,441306145
92000000,631607053
6400000,23586011
140000000,23690757
800000,962002
140000000,654264015
140000000,7110859
800000,800000
70000000,23690757
4000000,7110
2000000,20908467
1288000,72275
3200000,67
1288000,236907
70000000,127244
8200000,159428329
325000,11477
1288000,1456477
4000000,20745728
70000000,23335817
25000000,216639112
4000000,14480
6000000,23690757
22000000,52767889
22000000,424208848
